abbreviation,replacement
fondament.,fondamentale
fondamental.,fondamentale
fondamentale.,fondamentales
fondat.,fondation
fondaz.,fondazione
fonoa.,fonoaudiologia
fonoaud.,fonoaudiologia
fonoaudiol.,fonoaudiologia
font.,fontys
fontenay-aux-r.,fontenay-aux-roses
fontenay-aux-rose.,fontenay-aux-roses
food.,foods
foods.,foodstuff
footb.,football
for.,forest
fora.,forage
forag.,forage
forc.,force
force.,forces
ford.,fordham
fore.,forest
forecas.,forecasting
forecast.,forecasting
foren.,forensic
forens.,forensic
forense.,forenses
forensic.,forensics
forensis.,forensische
fores.,forest
forest.,forestry
forestal.,forestales
forester.,foresterhill
forestière.,forestières
form.,forming
format.,formation
formaz.,formazione
former.,formerly
formul.,formulation
formulat.,formulation
fors.,forschungszentrum
forsc.,forschungszentrum
forsch.,forschungszentrum
forsche.,forschergruppe
forscherg.,forschergruppe
forschergr.,forschergruppe
forschergrup.,forschergruppe
forschu.,forschungszentrum
forschung.,forschungszentrum
forschungs.,forschungszentrum
forschungsab.,forschungsabteilung
forschungsabt.,forschungsabteilung
forschungsabteil.,forschungsabteilung
forschungsan.,forschungsanstalt
forschungsanst.,forschungsanstalt
forschungsansta.,forschungsanstalt
forschungsb.,forschungsbereich
forschungsber.,forschungsbereich
forschungsg.,forschungsgruppe
forschungsgem.,forschungsgemeinschaft
forschungsgemein.,forschungsgemeinschaft
forschungsgemeinsch.,forschungsgemeinschaft
forschungsges.,forschungsgesellschaft
forschungsgesell.,forschungsgesellschaft
forschungsgesells.,forschungsgesellschaft
forschungsgr.,forschungsgruppe
forschungsgrup.,forschungsgruppe
forschungsin.,forschungsinstitut
forschungsinst.,forschungsinstitut
forschungsinstit.,forschungsinstitut
forschungslab.,forschungslaboratorium
forschungslabor.,forschungslaboratorium
forschungslaborat.,forschungslaboratorium
forschungss.,forschungsstelle
forschungssc.,forschungsschwerpunkt
forschungssch.,forschungsschwerpunkt
forschungsschw.,forschungsschwerpunkt
forschungsschwer.,forschungsschwerpunkt
forschungsschwerp.,forschungsschwerpunkt
forschungsst.,forschungsstelle
forschungsv.,forschungsverbund
forschungsverb.,forschungsverbund
forschungsz.,forschungszentrum
forschungsze.,forschungszentrum
forschungszen.,forschungszentrum
forschungszent.,forschungszentrum
forschungszentr.,forschungszentrum
forsk.,forskning
forskn.,forskning
forst.,forstwirtschaft
forstbo.,forstbotanik
forstbot.,forstbotanik
forstbotan.,forstbotanik
forstl.,forstliche
forstlich.,forstliche
forstw.,forstwirtschaft
forstwirt.,forstwirtschaft
forstwirts.,forstwirtschaft
forstwirtsch.,forstwirtschaft
fort.,forth
fortb.,fortbildung
fortbild.,fortbildung
forv.,forvie
forêt.,forêts
foster.,fostering
foto.,fotonik
fotochim.,fotochimica
fou.,foundation
foun.,foundation
found.,foundation
founda.,foundation
foundat.,foundation
foundation.,foundations
four.,fourth
fourier-g.,fourier-grenoble
fourt.,fourth
fox.,foxboro
fra.,francisco
frac.,fracture
fract.,fracture
frag.,fraga
fram.,framingham
fran.,francisco
franc.,francisco
franca.,francais
france.,frances
franche-c.,franche-comte
francis.,francisco
franco.,francois
francop.,francophone
francoph.,francophone
frank.,frankfurt
frankf.,frankfurt
frankfurt.,frankfurter
frankfurt/m.,frankfurt/main
franklin-w.,franklin-wilkins
frant.,frantsevich
franz.,franzens
franç.,français
frança.,français
frau.,fraunhofer
frauen.,frauenklinik
frauenh.,frauenheilkunde
frauenheil.,frauenheilkunde
frauenheilk.,frauenheilkunde
frauenk.,frauenklinik
frauenkl.,frauenklinik
frauenklin.,frauenklinik
fraunh.,fraunhofer
fraunhof.,fraunhofer
fraunhofer-ges.,fraunhofer-gesellschaft
fraunhofer-gesell.,fraunhofer-gesellschaft
fraunhofer-gesellsch.,fraunhofer-gesellschaft
fraunhofer-i.,fraunhofer-institut
fraunhofer-inst.,fraunhofer-institut
fre.,free
fred.,frederick
frederiksb.,frederiksberg
free-elec.,free-electron
free.,freeman
frei.,freiburg
freib.,freiburg
freiburg.,freiburger
freie.,freien
french.,frenchay
freq.,frequency
fres.,freshwater
fresh.,freshwater
freshw.,freshwater
freshwat.,freshwater
fri.,friedrich
frib.,fribourg
fried.,friedrich
friedr.,friedrich
friedric.,friedrich
friedrich-a.,friedrich-alexander
friedrich-alex.,friedrich-alexander
friedrich-alexand.,friedrich-alexander
friedrich-alexander-u.,friedrich-alexander-university
friedrich-alexander-uni.,friedrich-alexander-university
friedrich-alexander-univ.,friedrich-alexander-university
friedrich-alexander-universit.,friedrich-alexander-university
friedrich-loeffler-inst.,friedrich-loeffler-institut
friedrich-s.,friedrich-schiller
friedrich-schiller-u.,friedrich-schiller-university
friedrich-schiller-univ.,friedrich-schiller-university
friedrich-schiller-univer.,friedrich-schiller-university
friedrich-schiller-univers.,friedrich-schiller-university
friedrich-schiller-universit.,friedrich-schiller-university
friedrich-w.,friedrich-wilhelms
friedrich-wilhelms-u.,friedrich-wilhelms-university
friedrich-wilhelms-univ.,friedrich-wilhelms-university
friedrich.,friedrichshain
friend.,friendship
friendsh.,friendship
fries.,friesland
fritz-h.,fritz-haber
fritz-haber-i.,fritz-haber-institut
fritz-haber-ins.,fritz-haber-institut
fritz-haber-inst.,fritz-haber-institut
fro.,frontier
fron.,frontier
front.,frontier
fru.,fruit
fruit.,fruits
frut.,fruticultura
fsi.,fsica
fuc.,fuchu
fuel.,fuels
fuen.,fuente
fuenl.,fuenlabrada
fuente.,fuentenueva
fuk.,fukuoka
ful.,fullerton
fun.,functional
func.,functional
funcion.,funcional
funct.,functional
function.,functional
functional.,functionalization
fund.,fundamental
funda.,fundamental
fundac.,fundacion
fundam.,fundamental
fundamen.,fundamental
fundament.,fundamental
fundamental.,fundamentals
fung.,fungal
funk.,funktionelle
funkt.,funktionelle
funktion.,funktionelle
funktionsb.,funktionsbereich
funktionsber.,funktionsbereich
funz.,funzionale
funzion.,funzionale
fur.,furukawa
furn.,furniture
furo-c.,furo-cho
fus.,fusion
fusi.,fusion
fusion.,fusione
fut.,future
future.,futures
fys.,fysica
fysiol.,fysiologie
fysiolog.,fysiologie
fysiologi.,fysiologie
fyz.,fyziologie
fyzik.,fyziky
fyzio.,fyziologie
fyziol.,fyziologie
fárm.,fármacos
fédér.,fédérale
fís.,física
física.,físicas
físico-quím.,físico-química
för.,förderung
für.,fürth
g-s.,g-scop
gab.,gabriel
gabriel-m.,gabriel-montpied
gabriel.,gabriela
gac.,gachon
gad.,gadjah
gag.,gagarin
gai.,gairdner
gal.,galway
gala.,galati
galicia.,galician
gall.,gallen
gallarat.,gallarate
galle.,gallen
gallo.,galloway
galve.,galveston
gam.,game
gama.,gamaleya
game.,games
gand.,gandhi
gandhi.,gandhigram
ganna.,gannan
gans.,gansu
gar.,garden
gard.,garden
garden.,gardens
garten.,gartenbau
gary.,garyounis
gas.,gastroenterology
gasdyn.,gasdynamics
gasdynam.,gasdynamics
gase.,gases
gast.,gastroenterology
gasth.,gasthuisberg
gasthuis.,gasthuisberg
gasthuisb.,gasthuisberg
gastr.,gastroenterology
gastro-e.,gastro-enterologie
gastro-enter.,gastro-enterologie
gastro-enterol.,gastro-enterologie
gastro-enterolog.,gastro-enterologie
gastro-i.,gastro-intestinal
gastro-int.,gastro-intestinal
gastro-intest.,gastro-intestinal
gastro.,gastroenterology
gastroe.,gastroenterology
gastroen.,gastroenterology
gastroent.,gastroenterology
gastroenter.,gastroenterology
gastroentero.,gastroenterology
gastroenterohepatol.,gastroenterohepatology
gastroenterol.,gastroenterology
gastroenterolo.,gastroenterology
gastroenterolog.,gastroenterology
gastroenterologica.,gastroenterological
gastroenterology-hepatol.,gastroenterology-hepatology
gastroenterology/hepat.,gastroenterology/hepatology
gastroenterology/hepatol.,gastroenterology/hepatology
gastroin.,gastrointestinal
gastroint.,gastrointestinal
gastrointes.,gastrointestinal
gastrointest.,gastrointestinal
gastrointesti.,gastrointestinal
gastrointestin.,gastrointestinal
gastron.,gastronomy
gat.,gates
gate.,gates
gatersl.,gatersleben
gats.,gatsby
gatt.,gatton
gav.,gavin
gaz.,gazi
gazi.,gaziantep
gaziosmanpas.,gaziosmanpasa
gdańsk.,gdańsku
gdański.,gdańskiego
gdyni.,gdynia
geb.,geburtshilfe
geba.,geballe
geburt.,geburtshilfe
geburts.,geburtshilfe
geburtsh.,geburtshilfe
geburtshil.,geburtshilfe
geburtshilf.,geburtshilfe
geburtsm.,geburtsmedizin
geburtsmed.,geburtsmedizin
gec.,gecad
ged.,gediminas
gee.,geesthacht
geel.,geelong
gees.,geesthacht
geest.,geesthacht
gef.,geffen
gefa.,gefasschirurgie
gefass.,gefasschirurgie
gefassch.,gefasschirurgie
gefasschir.,gefasschirurgie
gefasschirur.,gefasschirurgie
gefasschirurg.,gefasschirurgie
gefässchirurg.,gefässchirurgie
gefäßchir.,gefäßchirurgie
gefäßchirurg.,gefäßchirurgie
gefäßmed.,gefäßmedizin
geh.,geha
gel.,gelre
gels.,gelsenkirchen
gelsen.,gelsenkirchen
gem.,gemelli
gemei.,gemeinschaftspraxis
gemein.,gemeinschaftspraxis
gemeins.,gemeinschaftspraxis
gemeinsc.,gemeinschaftspraxis
gemeinsch.,gemeinschaftspraxis
gemeinschaf.,gemeinschaftspraxis
gemeinschaft.,gemeinschaftspraxis
gemeinschafts.,gemeinschaftspraxis
gemeinschaftskrankenh.,gemeinschaftskrankenhaus
gemeinschaftspr.,gemeinschaftspraxis
gemeinschaftsprax.,gemeinschaftspraxis
gen.,general
gene.,general
genecol.,genecology
genees.,geneeskunde
geneesk.,geneeskunde
geneesku.,geneeskunde
geneeskun.,geneeskunde
geneeskund.,geneeskunde
gener.,general
general.,generale
generat.,generation
genes.,genesis
genese.,geneseo
genet.,genetics
geneti.,genetics
genetic.,genetics
genetica.,genetically
genetik.,genetiky
genetiq.,genetique
genit.,genitourinary
genito-u.,genito-urinary
genito-urin.,genito-urinary
genitour.,genitourinary
genitourin.,genitourinary
genn.,gennimatas
geno.,genomics
genom.,genomics
genome.,genomes
genomi.,genomics
genomiq.,genomique
genos.,genoscope
genotyp.,genotyping
gent.,gentofte
genzent.,genzentrum
genzentr.,genzentrum
genèt.,genètica
genètic.,genètica
gené.,genética
genét.,genética
genético.,genéticos
genómica.,genómicas
geo-e.,geo-environmental
geo-en.,geo-environmental
geo-eng.,geo-engineering
geo-env.,geo-environmental
geo-envir.,geo-environmental
geo-environ.,geo-environmental
geo-explor.,geo-exploration
geo-hydrol.,geo-hydrological
geo-info.,geo-information
geo-res.,geo-resources
geo.,georgia
geobiol.,geobiology
geobot.,geobotany
geobota.,geobotany
geobotan.,geobotany
geoc.,geochemistry
geoch.,geochemistry
geochem.,geochemistry
geochemist.,geochemistry
geochim.,geochimie
geochron.,geochronology
geochronol.,geochronology
geoci.,geociencias
geocie.,geociencias
geocien.,geociencias
geod.,geodesy
geodes.,geodesy
geodesi.,geodesia
geodet.,geodetic
geodinam.,geodinamica
geody.,geodynamics
geodyn.,geodynamics
geodyna.,geodynamics
geodynam.,geodynamics
geodät.,geodätisches
geoecol.,geoecology
geoen.,geoenvironment
geoeng.,geoengineering
geoengi.,geoengineering
geoenv.,geoenvironment
geoenvir.,geoenvironment
geoenviron.,geoenvironment
geoenvironm.,geoenvironment
geoexplor.,geoexploration
geof.,geofisica
geofi.,geofisica
geofis.,geofisica
geofiz.,geofizyki
geoforschung.,geoforschungszentrum
geofís.,geofísica
geofísica.,geofísicas
geog.,geography
geogr.,geography
geogra.,geography
geograf.,geografia
geografi.,geografia
geograp.,geography
geograph.,geography
geographic.,geographical
geográf.,geográfico
geoin.,geoinformation
geoinf.,geoinformation
geoinfo.,geoinformation
geoinform.,geoinformation
geoinformat.,geoinformation
geoing.,geoingegneria
geol.,geological
geolo.,geological
geolog.,geological
geologi.,geological
geologic.,geological
geologica.,geological
geologisch-p.,geologisch-palaontologisches
geologisch-palaont.,geologisch-palaontologisches
geologisch-palaontol.,geologisch-palaontologisches
geologisch-palaontolog.,geologisch-palaontologisches
geologisch-paläont.,geologisch-paläontologisches
geologisch-paläontol.,geologisch-paläontologisches
geologisch-paläontolog.,geologisch-paläontologisches
geologisk.,geologiska
geológ.,geológicas
geom.,geomatics
geoma.,geomatics
geomag.,geomagnetism
geomagn.,geomagnetism
geomagnet.,geomagnetism
geomat.,geomatics
geomech.,geomechanics
geomet.,geometry
geometr.,geometry
geomicrobiol.,geomicrobiology
geomor.,geomorphology
geomorph.,geomorphology
geomorphol.,geomorphology
geon.,geonics
geop.,geophysics
geoph.,geophysics
geophy.,geophysics
geophys.,geophysics
geophysiq.,geophysique
geoq.,geoquest
geoquím.,geoquímica
geor.,georgia
geores.,georesources
georg-a.,georg-august
georg-august-u.,georg-august-university
georg-august-univ.,georg-august-university
georg.,georgia
george.,georgetown
georgi.,georgia
georgia.,georgian
geos.,geosciences
geosc.,geosciences
geosci.,geosciences
geoscience.,geosciences
geosp.,geospatial
geosph.,geosphere
geosys.,geosystems
geosyst.,geosystems
geosystem.,geosystems
geot.,geotechnical
geote.,geotechnical
geotec.,geotechnical
geotech.,geotechnical
geotechn.,geotechnical
geotechnol.,geotechnology
geotecn.,geotecnica
geotecnol.,geotecnologie
geother.,geothermal
geotherm.,geothermal
geow.,geowissenschaften
geowis.,geowissenschaften
geowiss.,geowissenschaften
geowisse.,geowissenschaften
geowissen.,geowissenschaften
geowissens.,geowissenschaften
geowissensch.,geowissenschaften
geowissenschaf.,geowissenschaften
geowissenschaft.,geowissenschaften
ger.,german
gera.,gerais
geral.,gerald
gerat.,geratology
geren.,gerencia
gerenc.,gerencia
geri.,geriatric
geria.,geriatric
geriat.,geriatric
geriatr.,geriatric
geriatric.,geriatrics
gerich.,gerichtliche
gericht.,gerichtliche
gerichtl.,gerichtliche
gerichtlich.,gerichtliche
germ.,german
german.,germany
germani.,germanic
germanist.,germanistik
germpl.,germplasm
gero.,gerontology
geron.,gerontology
geront.,gerontology
geronto.,gerontology
gerontol.,gerontology
gerontolog.,gerontology
gerontologica.,gerontological
gert.,gertner
ges.,gesellschaft
gesamthoch.,gesamthochschule
gesamthochs.,gesamthochschule
gesamthochsch.,gesamthochschule
gesch.,geschichte
geschi.,geschichte
geschicht.,geschichte
geschied.,geschiedenis
geschl.,geschlechtskrankheiten
geschlechts.,geschlechtskrankheiten
geschlechtskr.,geschlechtskrankheiten
geschlechtskran.,geschlechtskrankheiten
geschlechtskrank.,geschlechtskrankheiten
geschlechtskrankh.,geschlechtskrankheiten
geschäftsber.,geschäftsbereich
gesel.,gesellschaft
gesell.,gesellschaft
gesells.,gesellschaft
gesellsc.,gesellschaft
gesellsch.,gesellschaft
gesellscha.,gesellschaft
gesetz.,gesetzlichen
gesich.,gesichtschirurgie
gesicht.,gesichtschirurgie
gesichts.,gesichtschirurgie
gesichtsc.,gesichtschirurgie
gesichtsch.,gesichtschirurgie
gesichtschir.,gesichtschirurgie
gesichtschirurg.,gesichtschirurgie
gest.,gestion
gestion.,gestionale
gestional.,gestionale
gesu.,gesundheit
gesun.,gesundheit
gesund.,gesundheit
gesundh.,gesundheit
gesundheit.,gesundheitswesen
gesundheits.,gesundheitswesen
gesundheitsw.,gesundheitswesen
gesundheitswes.,gesundheitswesen
gesundheitswiss.,gesundheitswissenschaften
gesundheitswissensch.,gesundheitswissenschaften
gesundheitswissenschaft.,gesundheitswissenschaften
gesundheitsz.,gesundheitszentrum
gesundheitszent.,gesundheitszentrum
gez.,gezondheidszorg
gezond.,gezondheidszorg
gezondh.,gezondheidszorg
gezondhei.,gezondheidszorg
gezondheid.,gezondheidszorg
gezondheids.,gezondheidszorg
gezondheidsw.,gezondheidswetenschappen
gezondheidsweten.,gezondheidswetenschappen
gezondheidswetensc.,gezondheidswetenschappen
gezondheidswetensch.,gezondheidswetenschappen
gezondheidsz.,gezondheidszorg
gha.,ghana
ghe.,ghent
gia.,giannina
gib.,gibbs
gie.,giessen
gif-sur-y.,gif-sur-yvette
gif.,gifu
gig.,giga
gigien.,gigieny
gik.,giken
gil.,gillings
gill.,gillings
gin.,ginecologia
ginec.,ginecologia
gineco.,ginecologia
ginecol.,ginecologia
ginecolog.,ginecologia
ginek.,ginekologii
gineko.,ginekologii
ginekol.,ginekologii
ginekolog.,ginekologii
giov.,giovanni
gip.,gipuzkoa
gir.,girona
gires.,giresun
giron.,girona
gis.,gist
gius.,giuseppe
giv.,given
gkss-f.,gkss-forschungszentrum
gkss-forsch.,gkss-forschungszentrum
gkss-forschungs.,gkss-forschungszentrum
gkss-forschungszent.,gkss-forschungszentrum
gkv.,gkvk
gla.,glasgow
glac.,glaciology
glacio.,glaciology
glaciol.,glaciology
glam.,glamorgan
glas.,glasgow
glasg.,glasgow
glass.,glasshouse
glauc.,glaucoma
glaxo.,glaxosmithkline
glenn.,glennon
gliwic.,gliwice
glo.,global
glob.,global
global.,globalfoundries
gloeilampenfabr.,gloeilampenfabrieken
glos.,glostrup
glouc.,gloucestershire
gloucester.,gloucestershire
glyco.,glycobiology
glycobio.,glycobiology
glycobiol.,glycobiology
glycosci.,glycoscience
goa.,goat
gob.,gobierno
god.,goddard
goethe-u.,goethe-university
goethe-univ.,goethe-university
goethe-univers.,goethe-university
gog.,gogus
goi.,goias
gol.,gold
gold.,goldsmiths
goldsmith.,goldsmiths
gom.,gomes
good.,goodman
gor'k.,gor'kii
gor.,gorges
gora.,gorakhpur
gord.,gordon
gordo.,gordon
gore.,goretti
gorg.,gorges
gorl.,gorlaeus
gos.,gosudarstvennyj
gosp.,gospodarki
gospo.,gospodarki
gospod.,gospodarki
gospodar.,gospodarki
gosud.,gosudarstvennyj
gosudar.,gosudarstvennyj
got.,gothenburg
goteb.,goteborg
goth.,gothenburg
gott.,gottingen
gottfr.,gottfried
gottin.,gottingen
gottl.,gottlieb
gov.,government
gove.,government
gover.,government
goverm.,goverment
govern.,government
governm.,government
government.,governmental
governor.,governors
goz.,goztepe
gra.,graduate
grac.,grace
grad.,graduate
gradev.,gradevinski
gradevi.,gradevinski
gradevinsk.,gradevinski
gradig.,gradignan
gradu.,graduate
gradua.,graduate
graduate.,graduated
gram.,grampian
gran.,grande
grand.,grande
granda-osp.,granda-ospedale
grande.,grandes
grant.,grantham
grap.,graphics
graph.,graphics
gras.,grassland
grass.,grassland
grassl.,grassland
grassland.,grasslands
grav.,gravitation
grave.,graves
gravit.,gravitation
gravitat.,gravitation
gravitationsphy.,gravitationsphysik
gravitationsphys.,gravitationsphysik
graz.,grazie
grea.,great
great.,greater
greb.,grebenshchikov
gree.,green
green.,greenwich
greg.,gregorio
gregor.,gregorio
gren.,grenoble
grenoble-i.,grenoble-inp
gri.,griffith
grid.,grids
grif.,griffith
grig.,grigore
grim.,grimwade
gro.,group
grodn.,grodno
gron.,groningen
gronin.,groningen
groning.,groningen
gros.,grosso
gross.,grosso
grossh.,grosshadern
ground.,groundwater
group.,groupe
groupe.,groupement
groupem.,groupement
grow.,growth
groß.,großhadern
großh.,großhadern
grun.,grundlagen
grund.,grundlagen
